Year,RegionCode,PersonsEngaged,AvgHoursWorked
1982,CHN,529.559326171875,1970.70625302449
1983,CHN,543.172302246094,1970.19273094127
1984,CHN,557.972106933594,1969.72290679925
1985,CHN,573.328002929688,1969.39046443884
1986,CHN,587.222839355469,1970.44159854764
1987,CHN,599.6497192382809,1971.46331201726
1988,CHN,617.746459960938,1972.67638540469
1989,CHN,641.050842285156,1973.98727769082
1980,HUN,5.43816423416138,2130.5763125244
1981,HUN,5.40574216842651,2129.60522031267
1982,HUN,5.3658299446106,2039.29364462226
1983,HUN,5.3229465484619105,2019.87180038776
1984,HUN,5.28668212890625,1949.95316114357
1985,HUN,5.26083850860596,1923.733671427
1986,HUN,5.25149011611938,1914.99384152147
1987,HUN,5.202182769775391,1957.72189883737
1988,HUN,5.22518444061279,1951.89534556702
1989,HUN,5.19968938827515,1927.6180402739
1987,NLD,6.32089757919312,1489.97820146873
1988,NLD,6.43309354782104,1486.76620103442
1989,NLD,6.60891008377075,1482.01120039147
1950,BRA,16.9882431030273,2042.0
1951,BRA,17.4618072509766,2051.01863129876
1952,BRA,17.9522075653076,2060.07709399346
1970,LUX,0.141585916280746,1845.83371328728
1971,LUX,0.145843848586082,1842.32249493553
1972,LUX,0.149203777313232,1821.74030112515
1973,LUX,0.151682019233704,1792.47963519992
1974,LUX,0.15520367026329,1768.98080279135
1975,LUX,0.156628236174583,1741.35281115523
1976,LUX,0.156783387064934,1757.8203646201
1977,LUX,0.157434448599815,1732.71723083941
1978,LUX,0.157168969511986,1715.11673085387
1979,LUX,0.158329918980598,1698.50677799974
1980,LUX,0.15937352180481,1682.29918004229
1981,LUX,0.159764885902405,1658.04980242373
1982,LUX,0.159362375736237,1640.40983803857
1983,LUX,0.158875748515129,1634.77951787485
1984,LUX,0.159827575087547,1621.1935218816
1985,LUX,0.161423593759537,1634.85551785243
1986,LUX,0.165200814604759,1626.65852026987
1987,LUX,0.169605985283852,1624.83652080721
1988,LUX,0.174284428358078,1644.87451489766
1989,LUX,0.181043744087219,1633.9445181211
1989,PRT,4.3678994178772,1982.84891300068
1950,NOR,1.52044308185577,2129.1874661492
1951,NOR,1.52219748497009,2118.40553358097
1952,NOR,1.52422702312469,2107.67819933804
1953,NOR,1.52660536766052,2097.00518694149
1954,NOR,1.52882015705109,2086.38622131244
1955,NOR,1.53069353103638,2075.82102876499
1956,NOR,1.53205728530884,2065.30933699915
1957,NOR,1.53311896324158,2054.8508750938
1958,NOR,1.51719319820404,2044.44537349976
1959,NOR,1.5161315202713,2034.09256403279
1960,NOR,1.52887213230133,2023.79217986671
1961,NOR,1.54925584793091,2009.40882180758
1962,NOR,1.55774903297424,1995.12768817204
1963,NOR,1.56414377689362,1986.12711213518
1964,NOR,1.56854021549225,1996.12775217614
1965,NOR,1.58252906799316,1951.12487199181
1966,NOR,1.58892393112183,1952.1249359959
1967,NOR,1.59841632843018,1936.12391193036
1968,NOR,1.5999151468277,1897.12141577061
1969,NOR,1.61400377750397,1849.11834357399
1970,NOR,1.64008283615112,1835.11744751664
1971,NOR,1.65528285503387,1814.11610343062
1972,NOR,1.67363560199738,1781.11399129544
1973,NOR,1.68540370464325,1767.1130952381
1974,NOR,1.70772004127502,1745.11168714798
1975,NOR,1.7363109588623,1728.11059907834
1976,NOR,1.79458951950073,1674.47045707915
1977,NOR,1.84451305866241,1638.2863340564
1978,NOR,1.87623679637909,1601.81236673774
1979,NOR,1.90216386318207,1579.91587802313
1980,NOR,1.94821739196777,1580.08213552361
1981,NOR,1.97264909744263,1570.19766852509
1982,NOR,1.97249853610992,1558.76393110436
1983,NOR,1.96816432476044,1552.79187817259
1984,NOR,1.98312449455261,1548.38709677419
1985,NOR,2.03933668136597,1542.42275625307
1986,NOR,2.10737800598145,1538.46153846154
1987,NOR,2.14942145347595,1510.93531875291
1988,NOR,2.13559722900391,1513.33645297146
1989,NOR,2.07599020004272,1510.59730250482
1950,COL,3.34537410736084,2323.0
1951,COL,3.40878391265869,2312.2801076565
1952,COL,3.47339558601379,2301.60968414289
1953,COL,3.53923201560974,2290.98850117656
1954,COL,3.6063163280487105,2280.41633152834
1955,COL,3.6779327392578094,2269.89294901764
1956,COL,3.7567055225372306,2259.41812850763
1957,COL,3.8371651172637904,2248.99164590041
1954,GRC,3.47954416275024,2283.98021832056
1955,GRC,3.50978803634644,2274.53516833338
1956,GRC,3.53707408905029,2265.1291769022
1957,GRC,3.55625700950623,2255.76208250636
1958,GRC,3.58289933204651,2246.43372429311
1959,GRC,3.59249043464661,2237.14394207493
1960,GRC,3.60847616195679,2227.8925763267
1961,GRC,3.62287068367004,2217.99071951979
1962,GRC,3.58662033081055,2208.13287146325
1963,GRC,3.53640341758728,2198.3188365604
1964,GRC,3.4904510974884,2188.54842008393
1965,GRC,3.46603488922119,2178.82142817197
1966,GRC,3.43479633331299,2169.13766782426
1967,GRC,3.39364194869995,2159.49694689835
1968,GRC,3.35291457176209,2149.89907410576
1969,GRC,3.34278583526611,2140.34385900818
1970,GRC,3.33947968482971,2098.64272760233
1971,GRC,3.35552024841309,2099.60474786993
1972,GRC,3.37259483337402,2101.09355713444
1973,GRC,3.41634321212769,2102.54579634714
1974,GRC,3.43762421607971,2103.95962646352
1975,GRC,3.4451699256897,2105.33334594448
1976,GRC,3.48369646072388,2106.66539645883
1977,GRC,3.5067720413208,2107.95436737478
1978,GRC,3.52562832832336,2109.60974678768
1979,GRC,3.56787586212158,2111.04932525122
1980,GRC,3.62433052062988,2111.69922138275
1981,GRC,3.8152575492858896,2111.78392856974
1982,GRC,3.7818660736084,2111.39448722422
1983,GRC,3.8042809963226305,2108.86625375963
1984,GRC,3.7989475727081294,2108.49548362625
1985,GRC,3.9006519317627,2107.46921340512
1986,GRC,3.9213192462921103,2107.8125604545
1987,GRC,3.92499661445618,2110.0712505022
1988,GRC,4.00463390350342,2107.25482327349
1989,GRC,4.0216965675354,2109.30399566056
1985,PER,6.47698211669922,2159.28935862375
1986,PER,7.028465270996089,2152.32237222094
1987,PER,7.29394865036011,2145.37786492652
1988,PER,7.332128524780271,2138.45576421124
1989,PER,7.504090785980221,2131.55599777986
1970,MMR,10.3714456558228,2446.71585410172
1971,MMR,10.6177272796631,2446.42732758706
1972,MMR,10.8805570602417,2446.16030815316
1973,MMR,11.156081199646,2445.91385194352
1974,MMR,11.3392810821533,2445.04752530382
1975,MMR,11.524341583252,2444.19790755739
1976,MMR,11.891622543335,2442.77131655561
1977,MMR,12.2631158828735,2441.43956645328
